@ERR013138.115 IL39_4668:5:1:1051:8764/1
@ERR013138.116 IL39_4668:5:1:1052:16065/1
@ERR013138.117 IL39_4668:5:1:1052:17980/1
@ERR013138.118 IL39_4668:5:1:1052:16574/1
@ERR013138.119 IL39_4668:5:1:1052:13585/1
@ERR013138.120 IL39_4668:5:1:1052:13182/1
@ERR013138.121 IL39_4668:5:1:1052:4734/1
@ERR013138.122 IL39_4668:5:1:1052:6969/1
@ERR013138.123 IL39_4668:5:1:1052:15415/1
@ERR013138.124 IL39_4668:5:1:1052:14865/1
@ERR013138.125 IL39_4668:5:1:1052:5264/1
@ERR013138.126 IL39_4668:5:1:1052:5295/1
@ERR013138.127 IL39_4668:5:1:1052:18072/1
@ERR013138.128 IL39_4668:5:1:1052:17106/1
@ERR013138.129 IL39_4668:5:1:1053:18823/1
@ERR013138.130 IL39_4668:5:1:1053:7787/1
@ERR013138.131 IL39_4668:5:1:1053:11303/1
@ERR013138.132 IL39_4668:5:1:1053:11355/1
@ERR013138.133 IL39_4668:5:1:1053:4786/1
@ERR013138.134 IL39_4668:5:1:1053:20107/1
@ERR013138.135 IL39_4668:5:1:1053:8628/1
@ERR013138.136 IL39_4668:5:1:1053:3770/1
@ERR013138.137 IL39_4668:5:1:1053:16362/1
@ERR013138.138 IL39_4668:5:1:1054:12683/1
@ERR013138.139 IL39_4668:5:1:1054:14455/1
@ERR013138.140 IL39_4668:5:1:1054:2423/1
@ERR013138.141 IL39_4668:5:1:1054:14332/1
@ERR013138.142 IL39_4668:5:1:1054:3692/1
@ERR013138.143 IL39_4668:5:1:1054:9632/1
@ERR013138.144 IL39_4668:5:1:1054:10685/1
@ERR013138.145 IL39_4668:5:1:1054:1848/1
@ERR013138.146 IL39_4668:5:1:1054:21353/1
@ERR013138.147 IL39_4668:5:1:1054:2322/1
@ERR013138.148 IL39_4668:5:1:1054:14925/1
@ERR013138.149 IL39_4668:5:1:1054:19914/1
@ERR013138.150 IL39_4668:5:1:1054:2002/1
@ERR013138.151 IL39_4668:5:1:1054:3594/1
